NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	0	0.37241053581237793	0.028893972	Yes	
row_1	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]	4	0.29973143339157104	0.051970307	Yes	
row_2	EMP3	epithelial membrane protein 3 (MAM blood group) [Source:HGNC Symbol;Acc:HGNC:3335]	19	0.26649391651153564	0.07181252	Yes	
row_3	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	86	0.21623560786247253	0.08465736	Yes	
row_4	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	96	0.21263426542282104	0.10061869	Yes	
row_5	FOLR3	folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795]	224	0.1871170997619629	0.10757014	Yes	
row_6	PTENP1	phosphatase and tensin homolog pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9589]	263	0.18409810960292816	0.11958971	Yes	
row_7	SH3BGRL	SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	330	0.17831368744373322	0.12949234	Yes	
row_8	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	350	0.17671862244606018	0.14207132	Yes	
row_9	PAH	phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]	386	0.17303183674812317	0.15341103	Yes	
row_10	NDST3	N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]	666	0.15413515269756317	0.14874783	Yes	
row_11	RFTN1	raftlin, lipid raft linker 1 [Source:HGNC Symbol;Acc:HGNC:30278]	708	0.1515389382839203	0.15806253	Yes	
row_12	FMNL1	formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]	735	0.15024754405021667	0.16817069	Yes	
row_13	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	791	0.14763043820858002	0.17634806	Yes	
row_14	MATN3	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	796	0.14732767641544342	0.18754037	Yes	
